,Name,Date,Developer,Publisher,Genre,Price,Langs,DLC,Mature,Single,Total Review Cnt,Pos Review Cnt,Neg Review Cnt,Score,appid,Tags,description
0,Senren＊Banka,"14 Feb, 2020",YUZUSOFT,HIKARI FIELD,"['Adventure', 'Casual']","29,99€","['English', 'Japanese', 'Simplified Chinese', 'Traditional Chinese']",0.0,1.0,1.0,14158.0,14033.0,125.0,0.9635241046439096,1144400,"['Visual Novel', 'Casual', 'Adventure', 'Dating Sim', 'Anime', 'NSFW', 'Cute', 'Romance', 'Story Rich', 'Multiple Endings', 'First-Person', 'Singleplayer', 'Great Soundtrack', 'Choices Matter', 'Action', 'Comedy', 'Horror', 'Family Friendly']","Senren＊Banka is a Japanese-style visual novel produced by Yuzusoft, a Japanese developer of romance VNs. This game commemorated Yuzusoft's 10th anniversary. It won numerous awards on the year of its release in Japan for its art, music, and characters."
1,A Short Hike,"30 Jul, 2019",adamgryu,adamgryu,"['Adventure', 'Indie']","6,59€","['English', 'French', 'Spanish - Latin America', 'Japanese', 'Portuguese - Brazil']",0.0,0.0,1.0,13541.0,13442.0,99.0,0.9645820131927344,1055540,"['Adventure', 'Exploration', 'Indie', 'Cute', 'Relaxing', 'Pixel Graphics', 'Nature', 'Great Soundtrack', 'Casual', 'Open World', 'Singleplayer', '3D Platformer', 'Short', 'Family Friendly', 'Beautiful', 'Funny', 'Flight', 'Walking Simulator', 'Female Protagonist', 'Third Person']","Hike, climb, and soar through the peaceful mountainside landscapes of Hawk Peak Provincial Park as you make your way to the summit."
2,Papa's Freezeria Deluxe,"31 Mar, 2023",Flipline Studios,Flipline Studios,"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']","5,89€",['English'],0.0,0.0,1.0,3898.0,3864.0,34.0,0.9505074284884092,2291760,"['Cooking', 'Strategy', 'Time Management', 'Simulation', 'Casual', 'Character Customization', 'Management', 'Job Simulator', 'Indie', 'Singleplayer', '2D', 'Nostalgia', 'Psychological Horror', 'Cult Classic', 'Classic', 'Action', 'Family Friendly', 'Cute', 'Colorful', 'Funny']","Return to Calypso Island to serve seasonal sundae treats in Papa's Freezeria Deluxe! Craft sundaes for all your quirky customers while earning tips, points and Special Recipes. Switch gears and take a trip in the Food Truck to concoct your own chilly creations and see who shows up!"
3,TOEM,"17 Sep, 2021",Something We Made,Something We Made,"['Adventure', 'Casual', 'Indie']","19,50€","['English', 'French', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Japanese', 'Russian', 'Korean', 'Portuguese - Brazil', 'Swedish', 'Traditional Chinese', 'Turkish']",1.0,0.0,1.0,3736.0,3706.0,30.0,0.9506174969882064,1307580,"['Cozy', 'Wholesome', 'Adventure', 'Puzzle', 'Exploration', 'Cute', 'Relaxing', 'Photo Editing', 'Hand-drawn', 'Casual', 'Funny', 'Family Friendly', 'Hidden Object', 'Atmospheric', 'Singleplayer', 'Cartoon', 'Music', 'Soundtrack', 'Stylized', 'Nature']","Set off on a delightful expedition and use your photographic eye to uncover the mysteries of the magical TOEM in this hand-drawn adventure game. Chat with quirky characters, solve their problems by snapping neat photos, and make your way through a relaxing landscape!"
4,Ib,"11 Apr, 2022",kouri,PLAYISM,"['Adventure', 'Indie']","10,79€","['English', 'Japanese', 'Simplified Chinese', 'Traditional Chinese', 'Korean', 'French', 'Italian', 'German', 'Spanish - Spain']",0.0,0.0,1.0,2617.0,2596.0,21.0,0.9459464821188356,1901370,"['Horror', '2D', 'RPGMaker', 'Psychological Horror', 'Female Protagonist', 'Pixel Graphics', 'Cute', 'Singleplayer', 'Adventure', 'Anime', 'Atmospheric', 'Indie', 'Psychological', 'Dark Fantasy', 'Puzzle', 'Survival Horror', 'Survival', 'Multiple Endings', 'Remake', 'Great Soundtrack']","A 2D exploration adventure game set in a creepy, mysterious art gallery."
5,Patrick's Parabox,"29 Mar, 2022",Patrick Traynor,Patrick Traynor,"['Casual', 'Indie', 'Strategy']","19,50€","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese']",1.0,0.0,1.0,2493.0,2476.0,17.0,0.9463601387460564,1260520,"['Puzzle', 'Sokoban', 'Abstract', 'Logic', 'Minimalist', 'Singleplayer', '2D', 'Indie', 'Casual', 'Difficult', 'Strategy', 'Psychological Horror']",A mind-bending recursive puzzle game about boxes within boxes within boxes within boxes. Learn to use infinity to your advantage as you explore a deep and elegant system.
6,A Building Full of Cats,"7 Jul, 2022",Devcats,Devcats,['Casual'],"1,95€","['English', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Simplified Chinese', 'French', 'German', 'Russian', 'Spanish - Latin America', 'Spanish - Spain', 'Traditional Chinese', 'Hungarian', 'Polish', 'Turkish', 'Dutch', 'Italian']",1.0,0.0,1.0,2548.0,2525.0,23.0,0.9446671927920338,1969080,"['Cats', 'Hidden Object', 'Puzzle', 'Hand-drawn', 'Creature Collector', 'Relaxing', 'Wholesome', 'Cozy', 'Minimalist', 'Point & Click', 'Collectathon', 'Cartoony', 'Colorful', 'Cute', 'Casual', 'Clicker', 'Exploration', 'Singleplayer', 'Family Friendly', 'Adventure']",A Building Full of Cats is a hidden object game where you need to pet all the cats in the building. Don't leave any cats behind!
7,Lil Gator Game,"14 Dec, 2022",MegaWobble,Playtonic Friends,"['Action', 'Adventure', 'Casual', 'Indie']","19,50€",['English'],0.0,0.0,1.0,2441.0,2426.0,15.0,0.946671888029253,1586800,"['Casual', 'Cozy', 'Relaxing', 'Cute', 'Wholesome', 'Family Friendly', 'Funny', 'Short', 'Colorful', 'LGBTQ+', 'Indie', 'Adventure', '3D Platformer', '3D', 'Collectathon', 'Third Person', 'Singleplayer', 'Action-Adventure', 'Comedy', 'RPG']","Embark on an adorable adventure, discover new friends and uncover everything the island has to offer. Climb, Swim, Glide and slide your way into the hearts of the many different characters you meet on your travels!"
8,Monster Prom 3: Monster Roadtrip,"21 Oct, 2022",Beautiful Glitch,Beautiful Glitch,"['Casual', 'Indie', 'Simulation', 'Strategy']","11,99€",['English'],1.0,1.0,1.0,2196.0,2171.0,25.0,0.9404235152116216,1665190,"['Visual Novel', 'Comedy', 'LGBTQ+', 'Multiplayer', 'Choices Matter', 'Story Rich', 'Dating Sim', 'Dark Humor', 'Funny', 'Memes', 'Multiple Endings', 'Choose Your Own Adventure', 'Survival', 'Romance', 'Indie', 'Comic Book', 'Resource Management', '2D', 'Simulation', 'Text-Based']","Embark on a road trip like no other in this co-op narrative survival adventure. Visit fun locations, meet wacky characters, and manage your resources wisely. And yes: you still can date some hot monsters ;)"
9,A Castle Full of Cats,"9 Nov, 2022",Devcats,Devcats,"['Adventure', 'Casual']","2,98€","['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese', 'Turkish', 'Italian', 'Hungarian']",1.0,0.0,1.0,1919.0,1908.0,11.0,0.9434998301750324,2070550,"['Cats', 'Hidden Object', 'Wholesome', 'Creature Collector', 'Puzzle', 'Point & Click', 'Cozy', 'Minimalist', 'Relaxing', 'Metroidvania', 'Adventure', 'Exploration', 'Casual', 'Vampire', 'Horror', 'Singleplayer', 'Hand-drawn', 'Cartoony', 'Cute', 'Collectathon']",A Castle Full of Cats is a catvania hidden object game where you need to find all the cursed cats in the castle. Save each and every cat and unleash the power of love! ♡
